#{"t_start": 1585757867.7587922, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
31.546346,35,2.245241,1
11.760606,17,3.005029,2
24.174801,32,4.441424,7
10.457735,17,5.205143,7
23.830845,32,6.625117,7
19.449331,28,7.861028,7
15.723592,22,8.829108,7
20.535017,28,10.10113,7
12.93103,20,10.989068,7
10.357214,17,11.745149,7
10.381736,14,12.365092,7
19.249574,25,13.497172,7
13.829823,20,14.377117,7
19.550824,25,15.485062,7
15.907964,21,16.417157,7
7.692466,11,16.905166,7
17.647027,24,17.973167,7
13.89939,18,18.781106,7
9.172958,12,19.325104,7
21.907575,31,20.725074,7
21.61797,30,22.077109,7
10.714935,15,22.737166,7
21.263603,32,24.161137,7
7.45902,11,24.649059,7
18.825539,26,25.797146,7
14.40532,19,26.645043,7
14.623924,23,27.657067,7
13.337822,20,28.545188,7
11.802931,16,29.249074,7
14.802353,19,30.085139,7
9.006018,12,30.613127,7
13.025671,18,31.429402,7
17.156895,22,32.437051,7
14.79081,20,33.325136,7
17.903229,23,34.341092,7
15.662134,20,35.221117,7
17.249784,22,36.193083,7
24.586184,33,37.669087,9
32.517177,42,39.537185,12
18.248069,24,40.621188,12
16.547169,21,41.565092,12
9.12102,12,42.093121,12
6.102783,10,42.533178,12
15.500907,22,43.513142,12
6.197514,9,43.913361,12
14.134354,21,44.845115,12
13.129666,21,45.777066,12
8.857135,12,46.305187,12
32.634815,42,48.129244,12
10.97776,15,48.813498,12
24.561314,34,50.325151,12
13.992764,19,51.177285,12
9.644555,16,51.909112,12
11.693432,18,52.725867,12
15.982446,20,53.609183,12
8.034517,11,54.093084,12
19.328229,29,55.385091,12
7.233215,11,55.869097,12
20.647828,28,57.117149,12
12.774316,18,57.917099,12
25.386204,32,59.345169,12
15.90601,24,60.417232,12
11.668013,16,61.121151,12
12.79436,20,62.001122,12
17.573142,23,63.029112,12
12.272478,19,63.885114,12
4.422242,7,64.197468,12
5.44974,9,64.597175,12
38.749907,50,66.825144,15
19.012102,28,68.085227,15
11.327805,16,68.79311,15
20.138789,28,70.049111,15
11.032015,15,70.709103,15
28.617722,36,72.309205,15
16.374047,22,73.289275,15
9.435189,13,73.865146,15
14.759462,23,74.905296,15
8.077593,11,75.389056,15
13.926593,19,76.22517,15
17.282149,22,77.193155,15
19.805881,25,78.297131,15
15.104435,23,79.325393,15
10.380852,17,80.085147,15
12.881249,20,80.997113,15
15.510021,22,81.981189,15
9.391144,13,82.557214,15
7.492126,11,83.041055,15
11.592221,19,83.881189,15
9.858466,13,84.469109,15
14.580213,20,85.365169,15
23.822615,29,86.657098,15
10.108105,14,87.297123,15
16.074338,26,88.461149,15
15.49538,23,89.473189,15
4.957101,8,89.833197,15
4.698983,8,90.185173,15
9.504566,16,90.917148,15
23.024689,31,92.305048,15
18.80765,26,93.457117,15
10.531686,14,94.085055,15
9.73652,13,94.669154,15
23.313603,32,96.077185,15
15.863221,20,97.005068,15
18.305343,26,98.169137,15
20.615121,28,99.437042,15
17.28423,23,100.449072,15
15.506065,22,101.433064,15
29.026325,39,103.201095,15
18.787049,24,104.265138,15
23.68284,30,105.601125,15
10.777743,17,106.349141,15
24.909641,41,108.197118,15
16.672192,22,109.169146,15
19.413731,26,110.317231,15
18.997541,24,111.389126,15
25.212894,36,113.029121,15
14.936147,20,113.921108,15
19.455257,24,115.021204,15
22.478383,28,116.309129,15
6.804785,10,116.757081,15
14.464309,22,117.725116,15
20.580138,28,118.957104,15
7.144025,10,119.40508,15
18.971546,23,120.433155,15
17.615154,23,121.445086,15
16.696322,24,122.501119,15
18.432562,24,123.581122,15
16.763161,24,124.645152,15
9.537638,13,125.237122,15
18.609478,26,126.433102,15
12.817797,21,127.361122,15
19.050934,24,128.421177,15
16.92925,26,129.577061,15
10.055881,16,130.28109,15
14.267421,22,131.269177,15
5.351854,8,131.629157,15
16.551147,25,132.757107,15
11.219453,15,133.437098,15
13.533841,19,134.301209,15
16.64449,21,135.225141,15
26.29638,38,136.905121,15
18.660442,24,137.993042,15
13.250448,18,138.797105,15
12.232137,17,139.553078,15
18.563324,24,140.629168,15
7.04031,10,141.077353,15
9.621274,15,141.738457,15
18.240419,23,142.785198,15
29.323724,39,144.537066,15
17.970254,22,145.509128,15
13.846705,18,146.305273,15
14.230602,18,147.109111,15
18.21334,26,148.25306,15
9.738293,14,148.885129,15
26.497236,33,150.349129,15
11.643658,17,151.109127,15
18.647394,25,152.209186,15
18.611614,24,153.269123,15
11.581763,16,154.013124,15
22.772683,29,155.31311,15
21.503068,27,156.509111,15
15.55181,23,157.521102,15
9.727414,16,158.225174,15
12.869234,19,159.113075,15
13.82906,18,159.929075,15
15.31201,19,160.773189,15
12.221933,16,161.51318,15
11.623065,19,162.361079,15
14.564558,20,163.241149,15
18.452532,27,164.473119,15
11.570456,16,165.213196,15
19.480665,25,166.329206,15
14.110161,18,167.125173,15
18.352107,26,168.289116,15
11.829043,15,168.949108,15
15.351317,19,169.809124,15
6.237131,9,170.221337,15
15.034545,22,171.189177,15
6.866192,10,171.633202,15
7.064365,10,172.077103,15
22.864219,30,173.405226,15
10.910133,17,174.157145,15
23.235345,31,175.521108,15
9.259386,13,176.097124,15
5.015746,8,176.449199,15
27.167938,35,178.029111,15
21.860195,33,179.485166,15
14.84616,20,180.405152,15
17.944382,24,181.485176,15
17.559081,23,182.505148,15
5.183313,8,182.857103,15
19.126062,24,183.98513,15
14.009727,19,184.829117,15
15.908231,20,185.725246,15
15.37327,21,186.665179,15
16.392288,24,187.749129,15
11.521655,18,188.541179,15
10.142949,13,189.129083,15
16.3954,23,190.141106,15
10.28089,14,190.757117,15
19.004395,24,191.825245,15
2.598949,5,192.04513,15
22.761411,31,193.429767,15
17.931006,23,194.457259,15
18.137426,25,195.565126,15
10.641968,14,196.181181,15
19.464679,26,197.333214,15
9.962041,13,197.913113,15
19.676041,25,199.029212,15
2.35451,5,199.253122,15
12.377058,17,200.00514,15
6.655944,10,200.445088,15
19.12345,26,201.593216,15
11.508814,16,202.337154,15
21.814881,30,203.657187,15
17.633699,25,204.78914,15
12.959416,18,205.593199,15
3.242369,6,205.857069,15
18.791509,25,206.957094,15
27.787436,36,208.545123,15
13.411934,20,209.425105,15
18.865814,24,210.501144,15
19.016374,24,211.573114,15
17.221803,24,212.637133,15
5.537739,9,213.037104,15
15.698617,19,213.877092,15
19.974588,28,215.125153,15
12.867483,16,215.833367,15
4.940875,8,216.185155,15
12.723004,16,216.889226,15
18.534037,26,218.045133,15
16.191543,24,219.109117,15
9.59031,16,219.829164,15
15.08904,22,220.813081,15
9.263776,13,221.389126,15
9.171614,14,222.009172,15
18.212306,24,223.089131,15
4.251633,7,223.401336,15
11.788108,18,224.201099,15
19.069618,28,225.433198,15
12.493505,19,226.297084,15
17.943216,27,227.501086,15
5.28625,8,227.853167,15
18.875883,27,229.053135,15
15.585507,20,229.953036,15
34.930557,46,232.017091,15
14.072979,18,232.825237,15
4.926009,8,233.185195,15
10.252163,18,233.985081,15
24.395688,36,235.589189,15
16.329818,23,236.617171,15
7.254861,10,237.061094,15
20.160258,25,238.173088,15
15.294406,20,239.057182,15
6.99401,10,239.497062,15
11.719351,18,240.289114,15
11.820311,15,240.965147,15
15.503841,20,241.873259,15
16.050602,23,242.909173,15
14.375532,19,243.753099,15
13.974512,18,244.573118,15
18.903813,25,245.681136,15
10.783645,14,246.305135,15
20.217223,29,247.58512,15
12.969725,17,248.33324,15
17.996268,26,249.481117,15
20.660483,26,250.653156,15
15.284433,23,251.67712,15
7.118775,10,252.125142,15
18.956597,25,253.233113,15
11.728389,15,253.897146,15
16.623397,22,254.88113,15
16.708646,23,255.897195,15
19.227463,27,257.09713,15
30.096399,39,258.82913,15
12.362717,17,259.585144,15
13.865931,18,260.385144,15
15.249072,20,261.301129,15
15.827802,21,262.229124,15
10.591141,15,262.889125,15
17.315766,25,263.989153,15
23.365462,31,265.357353,15
8.098719,14,265.989155,15
20.353325,28,267.229143,15
8.219257,15,267.889181,15
9.764844,13,268.461168,15
12.887598,16,269.169198,15
5.334165,8,269.521209,15
18.149418,26,270.669128,15
10.284456,14,271.29313,15
15.277064,22,272.293125,15
12.801594,16,273.025145,15
9.305419,13,273.617044,15
35.02472,49,275.845249,15
10.203073,15,276.509144,15
5.284768,8,276.869188,15
30.170596,37,278.521188,15
12.212126,16,279.257148,15
8.603488,15,279.945101,15
11.480536,15,280.629303,15
25.227151,32,282.041134,15
18.311271,24,283.101093,15
9.626213,14,283.717133,15
16.270679,24,284.781065,15
15.42994,22,285.765135,15
15.898872,23,286.793074,15
20.036621,29,288.069111,15
12.460619,19,288.905072,15
7.035474,10,289.349248,15
22.431975,30,290.697208,15
10.129343,16,291.417127,15
18.114817,23,292.4451,15
16.66977,23,293.471553,15
7.010086,10,293.925083,15
3.385359,6,294.197147,15
5.147076,8,294.549128,15
13.572568,17,295.313066,15
14.752906,18,296.113119,15
11.805582,17,296.889173,15
10.717302,16,297.593099,15
8.992691,12,298.121214,15
16.500805,26,299.285114,15
17.555495,23,300.325141,15
13.365449,17,301.07319,15
14.747883,24,302.149229,15
13.176814,17,302.897201,15
20.159827,29,304.201155,15
16.178371,22,305.229189,15
12.748096,21,306.169063,15
10.810329,15,306.829108,15
30.169231,43,308.765071,15
11.409847,15,309.43311,15
13.976644,19,310.301133,15
18.348495,25,311.445126,15
16.603596,22,312.421202,15
17.78479,22,313.401288,15
12.98799,17,314.161443,15
26.922941,34,315.673104,15
13.130527,17,316.445114,15
6.561105,10,316.885084,15
15.155912,22,317.853094,15
15.659777,20,318.749165,15
14.273127,19,319.597039,15
16.707424,21,320.53709,15
25.047533,32,321.989481,15
16.888919,22,322.957076,15
16.494879,25,324.073263,15
7.344608,11,324.569146,15
21.259839,32,325.98515,15
14.887701,21,326.913143,15
21.78763,27,328.11712,15
13.104378,19,328.973127,15
12.078474,17,329.725156,15
20.422081,30,331.045188,15
19.30317,26,332.20112,15
17.690946,22,333.19709,15
12.654658,17,333.953112,15
22.068156,30,335.293154,15
15.272002,21,336.253163,15
22.274858,30,337.589148,15
15.571233,22,338.561187,15
19.683841,27,339.797195,15
8.180978,11,340.297214,15
10.377918,15,340.981142,15
32.798664,45,343.009117,15
13.622465,18,343.821189,15
5.246447,8,344.173416,15
9.331371,14,344.80118,15
7.903836,12,345.329142,15
22.162688,27,346.517142,15
2.391903,5,346.737191,15
17.313569,25,347.857151,15
12.489591,17,348.621174,15
13.401329,18,349.413199,15
9.539388,15,350.073117,15
17.595014,24,351.129169,15
19.578386,27,352.325137,15
6.742726,10,352.777078,15
11.06552,15,353.445328,15
4.208737,7,353.769172,15
18.10597,25,354.873092,15
12.991546,18,355.681094,15
18.324645,26,356.833131,15
11.079441,16,357.569128,15
23.821033,36,359.213224,15
13.446849,17,359.977178,15
19.258982,24,361.045066,15
16.078976,23,362.085086,15
15.858045,21,363.021147,15
6.85837,10,363.461117,15
13.178293,20,364.345149,15
16.22417,26,365.517257,15
17.169211,23,366.55718,15
14.249547,19,367.409514,15
