#{"t_start": 1585453710.3117304, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
24.228185,43,3.08724,3
23.841002,36,4.687164,7
26.098369,42,6.555231,9
28.133228,42,8.459542,10
16.92904,29,9.751276,10
17.752409,32,11.203279,10
30.741997,47,13.323276,10
43.602354,63,16.159521,16
27.210247,53,18.535218,16
26.236086,44,20.487185,16
14.978046,31,21.875276,16
43.903591,59,24.519226,19
14.269449,29,25.807269,19
20.612385,33,27.287288,19
17.060991,29,28.59135,19
12.988445,25,29.707486,19
25.114436,41,31.549641,19
37.237021,60,34.273543,19
16.484695,31,35.658134,19
19.468304,36,37.299056,19
17.322441,30,38.657592,19
13.63706,26,39.82335,19
16.801006,28,41.079278,19
15.113097,28,42.337571,19
16.340478,29,43.635281,19
20.775926,34,45.151582,19
20.501715,32,46.61923,19
34.258997,48,49.091253,19
66.729154,98,53.466151,40
29.810235,44,55.423206,40
14.433442,28,56.691124,40
32.14989,46,58.759321,40
20.875312,39,60.523166,40
26.067454,49,62.735327,40
21.640095,42,64.659282,40
12.916784,25,65.775253,40
34.124325,56,68.363241,40
19.31314,32,69.811397,40
20.125457,36,71.427261,40
11.699411,26,72.587188,40
20.246131,33,74.065599,40
22.117732,43,76.007211,40
24.854938,47,78.115275,40
14.486887,29,79.433575,40
36.996592,56,81.963587,40
16.82726,31,83.3432,40
43.530018,66,86.269661,40
22.127911,36,87.867269,40
36.183591,53,90.231356,40
18.079706,31,91.611342,40
26.171341,38,93.307233,40
21.428006,35,94.899251,40
15.220047,28,96.135293,40
22.33787,37,97.795247,40
19.960375,34,99.30327,40
27.208698,41,101.115312,40
46.424215,63,103.929592,40
40.021594,67,106.883241,40
18.791832,31,108.26559,40
21.429829,35,109.815658,40
22.038215,36,111.411265,40
21.429399,37,113.04724,40
24.369341,39,114.767275,40
20.261839,39,116.495272,40
25.880649,43,118.403242,40
14.676058,30,119.731248,40
22.197425,46,121.781606,40
15.354716,27,122.975266,40
27.248312,46,125.023322,40
16.287674,29,126.306146,40
25.409507,37,127.94726,40
29.670677,46,129.987828,40
31.352246,55,132.433619,40
32.712544,48,134.555185,40
13.88756,25,135.659327,40
37.23877,55,138.111358,40
26.094545,56,140.609673,40
32.529249,48,142.725683,40
15.64079,29,144.023286,40
31.800738,46,146.051253,40
13.85595,27,147.243279,40
34.834893,51,149.487584,40
17.08383,30,150.807287,40
17.450898,29,152.087274,40
36.402629,56,154.575323,40
28.998667,44,156.525617,40
29.974702,47,158.607267,40
20.27966,36,160.215287,40
17.846544,30,161.575157,40
17.182733,37,163.24559,40
15.334819,32,164.659282,40
14.802124,26,165.821588,40
23.901025,39,167.555271,40
18.040464,30,168.891212,40
27.180261,41,170.697668,40
27.425424,55,173.151282,40
20.921893,35,174.69523,40
18.32403,32,176.155258,40
20.221377,34,177.681617,40
15.731412,28,178.93119,40
29.210989,55,181.373005,40
32.912458,46,183.429621,40
14.6532,28,184.711242,40
16.236795,28,185.947254,40
19.570823,36,187.55933,40
35.235391,50,189.759374,40
31.093047,47,191.843319,40
35.563979,49,194.027369,40
26.432242,41,195.839306,40
24.898534,39,197.555381,40
28.947063,43,199.459214,40
44.480678,63,202.247406,40
28.332383,45,204.247253,40
26.167945,39,205.997797,40
57.080246,105,210.639293,43
27.287956,46,212.685643,43
19.397053,33,214.139048,43
21.327542,35,215.691324,43
29.94856,47,217.779311,43
26.351508,44,219.763362,43
14.424858,28,221.015368,43
28.000175,45,223.033644,43
27.072912,44,224.995569,43
16.000875,28,226.235259,43
12.610346,26,227.385615,43
14.340221,27,228.593655,43
15.038616,27,229.77934,43
15.079102,27,231.019458,43
14.655158,27,232.22222,43
19.55117,36,233.81131,43
26.586005,42,235.659278,43
20.32672,37,237.323304,43
27.213211,39,239.067313,43
24.46239,41,240.891359,43
31.826265,46,242.935349,43
22.065548,37,244.595305,43
21.255599,39,246.347338,43
15.606851,31,247.741731,43
12.801105,25,248.87129,43
20.056758,37,250.509595,43
22.444538,35,252.0754,43
24.288146,53,254.439303,43
34.547085,55,256.871397,43
17.610962,31,258.263245,43
21.93261,56,260.754199,43
39.422141,57,263.315373,43
37.57936,63,266.115346,43
34.811462,52,268.438235,43
10.82049,22,269.415496,43
17.266097,29,270.723244,43
31.434482,51,272.979595,43
17.667082,33,274.459195,43
36.361092,53,276.855392,43
60.294362,102,281.44624,43
24.902081,40,283.215199,43
25.01828,43,285.115359,43
33.227618,49,287.277707,43
48.177739,77,290.711308,43
22.364222,36,292.315329,43
15.997944,29,293.619255,43
16.611467,31,295.015226,43
24.761759,36,296.647245,43
28.426972,41,298.487235,43
31.001391,46,300.535294,43
20.034241,37,302.205699,43
29.114002,43,304.127322,43
20.966899,34,305.658152,43
18.035114,30,306.979512,43
20.910228,35,308.527422,43
14.33811,26,309.697677,43
13.629863,27,310.903341,43
25.526199,43,312.819542,43
27.867017,40,314.63125,43
24.975113,39,316.399244,43
15.368163,29,317.683203,43
15.923872,29,318.979711,43
26.120527,44,320.926745,43
27.186974,41,322.797631,43
14.960874,28,324.0416,43
19.544712,34,325.563308,43
22.197447,38,327.267231,43
16.477286,30,328.611276,43
34.000372,62,331.387252,43
23.882633,40,333.167374,43
37.910101,54,335.607245,43
20.897462,36,337.238121,43
19.606617,32,338.64722,43
16.70814,29,339.935367,43
13.396784,26,341.135357,43
23.326252,36,342.751604,43
15.70655,28,344.015277,43
18.530205,31,345.403312,43
24.38927,40,347.191257,43
45.507885,80,350.75141,43
15.797722,29,352.049723,43
28.858486,42,353.935286,43
54.062097,88,357.88965,43
28.159904,44,359.855276,43
14.904698,28,361.107296,43
30.062659,54,363.511578,43
19.072914,31,364.877776,43
15.972113,27,366.067313,43
24.318212,37,367.735056,43
12.347899,25,368.839289,43
22.159121,35,370.399138,43
55.378309,73,373.651284,43
20.539765,37,375.307231,43
28.577297,43,377.245607,43
57.580511,99,381.683213,43
35.876413,51,383.943229,43
22.869074,40,385.731168,43
32.899288,54,388.183246,43
21.919257,37,389.839213,43
31.862656,68,392.911289,43
17.038869,32,394.359292,43
15.229756,28,395.623255,43
33.964046,59,398.273613,43
22.368368,43,400.211371,43
40.918471,60,402.879239,43
29.355881,46,404.925617,43
34.457099,49,407.119249,43
30.063856,44,409.091353,43
32.963784,51,411.363252,43
26.394007,41,413.195292,43
21.862029,39,414.987411,43
57.889194,82,418.647504,43
24.784734,40,420.439258,43
22.25038,38,422.139205,43
22.698984,39,423.879238,43
16.534031,29,425.167248,43
24.583264,39,426.887255,43
18.194603,52,429.207261,43
17.389925,30,430.563348,43
27.530253,54,432.987496,43
29.364582,43,434.911259,43
28.532156,43,436.823272,43
44.129629,87,440.695334,43
25.908712,44,442.699149,43
33.490027,51,444.991301,43
23.833468,36,446.587216,43
52.979248,87,450.481576,43
21.578039,34,451.999197,43
30.588817,63,454.79919,43
43.631095,82,458.51125,43
19.766431,38,460.227234,43
19.323657,37,461.86323,43
19.003537,30,463.203289,43
17.579814,34,464.723284,43
25.443234,41,466.54738,43
37.519043,57,469.080011,43
28.736725,42,470.947199,43
39.161742,57,473.507245,43
38.180424,54,475.891203,43
15.643585,32,477.343292,43
20.395141,33,478.821018,43
27.150003,43,480.739304,43
25.178233,50,482.960236,43
14.86508,27,484.163538,43
18.011235,35,485.721637,43
63.801588,96,490.003354,43
21.206672,38,491.689682,43
21.555537,39,493.409628,43
36.224787,51,495.659274,43
17.392214,31,497.04978,43
35.293625,60,499.731162,43
44.224206,63,502.527224,43
30.473262,46,504.607249,43
36.357445,59,507.263284,43
33.391846,51,509.52621,43
22.728559,41,511.33527,43
45.893764,70,514.499279,43
16.366662,29,515.799261,43
14.457187,26,516.973686,43
25.477996,38,518.679215,43
14.851516,32,520.111246,43
35.550128,58,522.747342,43
18.129117,32,524.19123,43
44.664502,71,527.403225,43
33.271838,55,529.883264,43
70.909171,107,534.733503,43
17.749124,33,536.235202,43
26.222202,42,538.135103,43
46.732204,98,542.619107,43
29.216909,48,544.767285,43
