#{"t_start": 1585635637.2944405, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
35.546772,55,6.872121,10
21.841986,31,8.152951,10
7.916433,13,8.694948,10
23.344309,36,10.183107,10
15.349099,23,11.133997,10
10.011649,15,11.757979,10
25.138742,41,13.452962,11
17.21198,26,14.526953,11
14.980483,22,15.435959,11
13.64202,20,16.262021,11
5.718468,10,16.67493,11
16.817451,24,17.67097,11
13.530025,21,18.540963,11
11.75941,21,19.41098,11
7.6302,13,19.950037,11
20.00466,30,21.193985,11
15.287611,30,22.436984,11
9.929054,15,23.059092,11
22.420583,36,24.553171,12
26.182529,38,26.125087,12
10.378423,16,26.78996,12
6.298335,11,27.245973,12
17.307059,27,28.360019,12
6.378697,12,28.856982,12
28.82235,47,30.808962,13
23.037407,37,32.341076,13
8.877625,15,32.960144,13
15.150939,22,33.874971,13
14.785874,22,34.787968,13
13.445604,21,35.656039,13
10.96734,18,36.402764,13
13.900727,20,37.227789,13
13.320502,21,38.098951,13
21.306767,33,39.468007,13
16.584466,24,40.463679,13
13.601724,22,41.374272,13
10.605092,16,42.038184,13
11.813491,19,42.826035,13
7.20764,12,43.320997,13
16.15208,25,44.359936,13
11.977617,19,45.144025,13
9.719971,15,45.768263,13
8.00089,13,46.308088,13
15.526738,23,47.260059,13
8.166337,14,47.841027,13
19.916227,31,49.120106,13
8.417503,14,49.700133,13
15.596597,24,50.692054,13
13.281317,20,51.52006,13
17.29116,25,52.562204,13
16.996851,27,53.684064,13
8.098889,16,54.35008,13
5.547145,10,54.76404,13
16.328496,24,55.761122,13
11.631393,18,56.503109,13
20.158682,30,57.74507,13
11.818358,18,58.492104,13
13.067366,19,59.279053,13
16.134373,25,60.317017,13
15.050201,22,61.224966,13
18.196328,27,62.346905,13
7.119617,12,62.847024,13
16.083636,28,64.004827,13
5.834558,10,64.417829,13
8.048662,13,64.95897,13
9.781025,19,65.746132,13
11.298731,19,66.532131,13
9.723962,15,67.149172,13
10.691501,16,67.810091,13
11.593972,18,68.554997,13
15.417924,23,69.509981,13
6.221586,11,69.962067,13
24.861634,41,71.659915,13
16.592565,33,73.024001,13
