#{"t_start": 1585382291.3987634, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
26.921597,48,5.515703,6
15.446,28,6.765503,6
23.877333,42,8.641251,6
25.181406,40,10.551632,8
22.340882,42,12.425092,10
38.362757,58,15.033413,17
26.977754,44,17.011873,17
23.383777,39,18.747536,17
24.599179,42,20.667453,17
17.124309,35,22.255642,17
32.30399,45,24.301017,17
32.583902,48,26.444995,17
23.264388,40,28.259369,17
14.881097,28,29.493077,17
58.583181,82,33.109056,32
63.036396,85,36.867661,32
22.347663,39,38.641232,32
32.30796,54,41.043827,32
16.248089,30,42.38333,32
18.034949,32,43.812668,32
34.316618,52,46.127493,32
27.064368,47,48.225077,32
25.287204,48,50.355392,32
16.567502,27,51.55144,32
17.11667,29,52.83585,32
42.915823,67,55.865219,32
25.947508,41,57.687594,32
20.706415,35,59.244943,32
30.641582,52,61.575393,32
24.982872,37,63.231427,32
15.16097,28,64.483421,32
23.456705,38,66.196968,32
25.026274,40,68.010751,32
9.982919,21,68.947565,32
32.965347,51,71.21703,32
20.733725,32,72.652653,32
18.618563,36,74.260645,32
20.715474,34,75.803369,32
19.4564,34,77.325446,32
15.06668,36,78.919514,32
28.396272,45,80.935428,32
22.004875,36,82.567516,32
27.34149,59,85.236917,32
16.956421,29,86.523443,32
32.359821,49,88.755893,32
13.479968,25,89.873072,32
19.893287,32,91.300984,32
13.523777,28,92.55944,32
41.691077,60,95.247642,32
42.990435,68,98.281052,32
36.438816,61,101.017053,32
16.193433,30,102.363441,32
14.698957,30,103.699527,32
44.120475,66,106.647449,32
33.041282,54,109.049099,32
35.973783,54,111.496939,32
26.118879,40,113.317645,32
32.365714,47,115.443857,32
28.297195,43,117.349169,32
12.687415,26,118.513017,32
19.817431,40,120.307456,32
34.081595,54,122.753174,32
20.315524,39,124.512973,32
29.626658,47,126.60748,32
14.799198,26,127.7691,32
29.550207,49,129.961072,32
18.517672,34,131.481121,32
16.427228,31,132.87606,32
22.513082,35,134.443537,32
12.53087,25,135.552996,32
24.494375,39,137.291961,32
31.587495,55,139.752523,32
15.824864,28,140.999933,32
47.607241,74,144.311457,32
16.380676,28,145.573189,32
15.956225,30,146.931391,32
22.002436,33,148.40515,32
24.713953,41,150.259373,32
28.916873,47,152.385072,32
24.941929,43,154.313345,32
15.116061,30,155.647348,32
22.087396,34,157.155498,32
27.153907,45,159.163525,32
17.385692,30,160.507511,32
15.392839,27,161.723571,32
10.388707,21,162.657039,32
66.148676,106,167.404917,52
24.074301,40,169.17707,52
18.795061,44,171.131574,52
17.051798,29,172.432084,52
14.65934,27,173.627451,52
23.48241,40,175.393061,52
34.677524,57,177.943538,52
16.972787,30,179.303337,52
16.24338,28,180.553037,52
41.853503,67,183.559504,52
17.185625,29,184.851477,52
19.618446,33,186.33138,52
29.73287,47,188.443374,52
23.250651,42,190.321062,52
25.927827,40,192.107398,52
15.661116,28,193.36346,52
18.929196,34,194.881076,52
15.668271,26,196.037049,52
35.17828,58,198.632964,52
37.690463,57,201.195542,52
18.510447,31,202.571416,52
26.034126,60,205.259447,52
20.177446,34,206.77547,52
26.545803,44,208.711496,52
21.562462,34,210.23179,52
32.577583,47,212.34343,52
29.354237,42,214.219455,52
18.417983,41,216.049347,52
31.944918,56,218.535777,52
18.232113,30,219.879493,52
19.499513,35,221.453093,52
30.846063,49,223.64746,52
18.307395,32,225.09547,52
28.275358,44,227.07342,52
20.101561,40,228.851384,52
14.376984,29,230.153157,52
27.060161,43,232.079405,52
16.487286,33,233.55693,52
87.550847,143,239.9375,81
14.423533,27,241.147444,81
20.806428,35,242.715381,81
22.215756,36,244.323596,81
13.814934,27,245.524925,81
67.754054,119,250.839462,81
26.017419,44,252.797155,81
17.631221,34,254.323432,81
11.748025,24,255.399344,81
24.09077,54,257.815951,81
27.457631,42,259.693604,81
25.500233,38,261.385066,81
30.67672,65,264.26758,81
10.594146,23,265.295361,81
36.504421,50,267.549486,81
42.86535,63,270.38076,81
28.715748,42,272.263443,81
25.771759,48,274.440891,81
27.919282,41,276.256888,81
14.194855,28,277.503432,81
34.887436,55,279.997147,81
15.721076,30,281.336947,81
35.435497,54,283.777285,81
23.244926,37,285.432554,81
25.302199,41,287.273743,81
48.83996,72,290.495524,81
27.421892,48,292.66343,81
11.599123,22,293.64906,81
11.829905,24,294.729136,81
36.92198,66,297.680527,81
50.885472,72,300.887453,81
15.500759,31,302.269212,81
24.900661,48,304.443423,81
33.903816,51,306.731445,81
15.383345,27,307.939309,81
39.183858,63,310.779892,81
33.097174,60,313.465072,81
19.23561,36,315.075383,81
56.839145,91,319.149099,81
24.225782,42,321.037632,81
30.588521,47,323.142916,81
14.798303,33,324.619476,81
52.942304,79,328.167501,81
45.927327,92,332.267478,81
13.625645,29,333.563846,81
54.5119,78,337.055553,81
25.19336,38,338.765054,81
15.678865,30,340.115248,81
34.363302,51,342.419512,81
27.468537,55,344.891425,81
53.738955,79,348.439426,81
31.669177,53,350.819805,81
48.464775,80,354.423569,81
34.678064,56,356.923571,81
32.98812,58,359.523522,81
19.699634,38,361.208939,81
42.397554,84,365.011495,81
50.255858,74,368.347325,81
33.180755,48,370.493045,81
19.806562,33,371.969043,81
24.654477,37,373.631417,81
28.852321,46,375.687364,81
44.667928,64,378.571573,81
54.206045,98,382.955341,81
40.139887,64,385.83955,81
23.024014,37,387.481079,81
16.649004,31,388.877115,81
13.026694,26,390.043317,81
24.943299,47,392.13308,81
40.447587,64,394.983494,81
38.684406,66,397.965272,81
14.462859,28,399.244061,81
33.206835,51,401.5332,81
38.644728,62,404.301481,81
17.82009,38,406.027824,81
11.60676,23,407.057133,81
44.831473,60,409.749003,81
24.141013,37,411.423442,81
10.66417,23,412.452554,81
23.376437,39,414.207377,81
37.272433,86,418.061051,81
23.1376,38,419.771433,81
29.503006,55,422.243429,81
29.806544,55,424.71939,81
18.74967,37,426.371333,81
33.412387,49,428.59682,81
45.093207,76,431.996941,81
40.108581,58,434.605072,81
40.137766,67,437.592991,81
56.083997,74,440.891424,81
15.457988,28,442.143441,81
38.985768,54,444.563425,81
49.066078,83,448.299427,81
22.654952,39,450.0491,81
13.020904,26,451.239572,81
35.369866,53,453.63548,81
28.30571,44,455.599435,81
19.805012,34,457.101016,81
28.644129,51,459.401367,81
46.138685,76,462.807503,81
48.147429,82,466.501282,81
41.76739,68,469.556559,81
40.277905,65,472.47149,81
26.208716,45,474.483915,81
17.83275,32,475.920522,81
20.648414,43,477.84102,81
23.818046,43,479.757509,81
19.873621,34,481.299616,81
22.061085,40,483.091443,81
16.377433,29,484.373127,81
29.541699,44,486.35298,81
12.235218,24,487.415482,81
48.8864,77,490.885102,81
24.275562,40,492.672917,81
40.765878,68,495.709177,81
41.388451,61,498.436428,81
29.545574,54,500.854876,81
21.132187,45,502.869419,81
22.591162,41,504.723326,81
33.567946,52,507.051866,81
28.423704,51,509.345817,81
41.272557,75,512.699472,81
25.471136,43,514.609094,81
19.584664,35,516.20512,81
28.822226,45,518.225121,81
19.445802,32,519.678037,81
24.74755,37,521.337123,81
13.190586,26,522.495319,81
12.748959,24,523.579394,81
23.038067,46,525.647857,81
31.314598,51,527.947346,81
24.346932,38,529.644658,81
31.631161,54,532.063438,81
28.408468,43,533.993455,81
15.210396,28,535.251469,81
56.93835,79,538.787459,81
21.459301,41,540.635893,81
19.41227,38,542.323412,81
27.95691,44,544.285032,81
28.170776,47,546.395441,81
37.994233,61,549.107436,81
29.3963,46,551.179391,81
25.42723,40,552.992935,81
26.784118,43,554.909154,81
42.660356,63,557.724996,81
68.584455,138,563.909478,81
39.583371,57,566.461053,81
48.535463,69,569.555577,81
