#{"t_start": 1585635637.5814736, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
24.782267,35,6.650024,1
18.399472,30,7.895003,8
15.267574,23,8.853007,8
6.81198,13,9.389938,8
26.006135,42,11.127244,10
1.481966,5,11.333119,10
12.758137,21,12.204017,10
18.258999,33,13.570015,10
9.178405,15,14.195966,10
20.435071,31,15.479005,10
23.400437,35,16.925948,10
18.593033,30,18.167017,10
26.566531,43,19.94713,13
7.808179,13,20.485085,13
13.074975,20,21.313119,13
28.721345,44,23.139011,13
19.936049,28,24.295137,13
8.63137,14,24.876939,13
24.956906,39,26.494066,13
2.004636,6,26.744041,13
18.631268,28,27.904018,13
19.180612,30,29.145952,13
15.138953,22,30.05394,13
11.242046,16,30.711994,13
13.957795,21,31.580999,13
10.70572,19,32.367039,13
5.624941,10,32.780019,13
6.988218,12,33.274976,13
16.367524,26,34.35302,13
12.234518,20,35.182169,13
17.993724,27,36.299292,13
14.813077,25,37.336066,13
11.19044,22,38.247087,13
14.493538,24,39.245025,13
15.580395,26,40.323962,13
10.969016,18,41.068974,13
13.826101,22,41.982951,13
14.797788,22,42.894017,13
12.338664,19,43.68104,13
17.354913,30,44.930106,13
8.866731,15,45.551987,13
12.188715,23,46.506999,13
15.485559,26,47.584243,13
15.909907,24,48.718043,13
17.174784,27,49.836229,13
26.619662,41,51.536977,13
15.059535,22,52.451269,13
17.108178,26,53.530173,13
8.717778,15,54.15034,13
8.005105,13,54.689148,13
12.835742,24,55.681015,13
14.288728,21,56.549923,13
10.64282,18,57.299168,13
24.583412,41,58.994033,13
12.231981,21,59.862081,13
3.447067,8,60.193076,13
16.204101,29,61.393995,13
14.961363,30,62.639032,13
17.738758,30,63.886062,13
20.277633,30,65.127105,13
11.923981,20,65.955091,13
12.99458,22,66.866084,13
12.35673,18,67.614076,13
15.272325,26,68.696156,13
14.039142,21,69.559098,13
4.580067,9,69.931241,13
10.693175,19,70.71817,13
28.915922,42,72.444072,13
13.466953,25,73.482118,13
4.124012,9,73.853071,13
10.185807,16,74.515068,13
19.528381,33,75.883038,13
18.426444,28,77.0422,13
14.72294,22,77.949024,13
9.817683,16,78.605092,13
8.944079,15,79.220111,13
20.693775,34,80.622038,13
9.899046,15,81.242087,13
13.776071,21,82.113062,13
10.351363,19,82.897151,13
12.316947,19,83.686109,13
4.893349,9,84.059702,13
13.290658,21,84.926987,13
19.528721,29,86.130152,13
17.30795,25,87.161006,13
9.633432,17,87.865102,13
21.115076,31,89.150243,13
7.125599,12,89.647096,13
13.968953,26,90.787987,13
30.735076,42,92.527944,13
11.637085,19,93.315208,13
23.315143,38,94.893154,13
14.336003,21,95.760119,13
12.33224,20,96.589969,13
24.044248,37,98.122055,13
1.6119,5,98.32865,13
19.532547,31,99.614042,13
7.429262,12,100.1062,13
20.25726,30,101.336145,13
16.747915,29,102.524994,13
6.492835,11,102.97799,13
12.035291,18,103.723056,13
5.641232,10,104.138017,13
21.524519,40,105.797107,14
21.101607,31,107.080606,14
14.75574,25,108.115065,14
19.916861,35,109.564087,14
4.006816,8,109.896098,14
15.170766,22,110.805188,14
7.921068,13,111.341049,14
12.427196,19,112.13196,14
12.698521,24,113.126981,14
7.790046,13,113.670191,14
7.592082,14,114.248179,14
18.830125,27,115.360351,14
4.682399,9,115.73212,14
15.156151,26,116.808081,14
10.169299,16,117.467984,14
18.392862,26,118.54403,14
8.967735,16,119.203967,14
10.625673,16,119.860042,14
7.096817,12,120.355148,14
8.97595,14,120.938021,14
20.011894,33,122.305039,14
18.766559,28,123.470373,14
10.826624,21,124.341075,14
20.707837,28,125.506172,14
7.617641,16,126.172028,14
15.012306,23,127.126058,14
12.798035,20,127.957008,14
19.724286,33,129.324013,14
15.406481,29,130.523029,14
11.136088,17,131.22598,14
20.662523,30,132.469025,14
4.927144,9,132.902053,14
22.120226,31,134.183037,14
3.059574,8,134.517078,14
10.873325,17,135.220181,14
18.796466,31,136.504233,14
20.986474,32,137.831963,14
24.587369,44,139.653306,14
19.565591,29,140.856024,14
15.106423,22,141.771015,14
11.47544,18,142.516046,14
21.4095,36,144.011072,14
12.787967,20,144.845937,14
13.843698,22,145.760045,14
9.78083,15,146.381192,14
6.766364,12,146.879005,14
15.437136,25,147.916037,14
17.048786,26,148.990033,14
9.510765,17,149.692007,14
15.220965,22,150.602088,14
8.090888,13,151.141953,14
2.541233,7,151.433097,14
19.034248,28,152.596024,14
10.967629,17,153.296978,14
15.085842,22,154.205088,14
14.056128,22,155.117065,14
21.90585,34,156.520082,14
20.595256,35,157.970946,14
16.653857,29,159.169961,14
7.175947,12,159.666111,14
6.397047,11,160.119127,14
16.880288,24,161.114029,14
6.244679,12,161.612066,14
20.854453,33,162.976939,14
7.69267,13,163.516464,14
35.227768,58,165.915044,21
16.871844,26,166.996181,21
16.48963,23,167.948159,21
16.590384,24,168.943183,21
9.342203,16,169.605117,21
17.021015,26,170.684016,21
11.499771,19,171.469089,21
26.629503,39,173.08117,21
10.50095,16,173.742049,21
9.80435,15,174.364081,21
4.05288,8,174.695224,21
