#{"t_start": 1583016170.237673, "env_id": "CarlaGymEnv-v95"}
r,l,t
24.524728,56,3.363857
18.075186,51,5.667826
2.996748,25,6.767735
8.033503,32,8.175793
11.901899,43,10.167724
4.855881,27,11.359957
10.423118,37,12.987867
4.045288,27,14.175815
9.853479,35,15.815758
-1.298894,19,16.651792
7.824764,31,18.015723
0.975259,24,19.195712
-2.216374,22,20.163719
0.179051,24,21.219732
4.638332,27,22.407808
-0.483563,20,23.287753
-3.357987,16,24.087815
-2.163905,17,24.835743
-1.225479,18,25.627814
-1.951067,22,26.595924
-1.613447,21,27.51971
-3.520864,18,28.415767
-4.450784,19,29.251759
-3.31841,19,30.087756
-4.951831,16,30.795761
-3.848783,15,31.463901
-2.107769,17,32.247776
-4.814993,15,33.019816
-3.963395,18,33.811745
-5.306974,16,34.527733
-4.512807,14,35.147786
-3.923757,15,35.807955
-5.04442,18,36.599768
-3.332993,18,37.503797
-3.916004,16,38.207844
-3.345413,16,38.911917
-3.828206,15,39.571703
-4.542062,18,40.363652
-2.544142,21,41.287872
0.557759,25,42.515761
-1.003813,19,43.364029
-0.773252,19,44.239683
0.130547,25,45.351693
0.197406,21,46.42378
2.530145,24,47.479809
-0.971257,19,48.315756
10.679608,39,50.03176
2.734009,25,51.243772
22.001186,50,53.495828
7.476513,35,55.035683
0.642737,23,56.151774
6.617538,32,57.559687
14.267458,39,59.291782
0.009891,24,60.451895
3.144629,25,61.567772
10.551294,34,63.079921
6.417401,29,64.459861
0.638935,23,65.495779
-1.992633,21,66.451807
1.962907,24,67.507735
-1.246034,22,68.475781
1.206623,26,69.719734
0.935635,22,70.691735
-0.947976,19,71.527787
-1.33108,19,72.363693
-0.909713,19,73.199779
-1.207927,19,74.135737
-0.351484,24,75.191762
2.427266,24,76.247741
-1.182848,19,77.087971
-2.488002,17,77.935767
-0.50378,19,78.771734
-3.485596,20,79.651899
-2.957717,21,80.575742
-0.429497,23,81.615748
-1.380649,19,82.555708
-5.058888,18,83.347771
-2.256046,21,84.271842
-2.201274,21,85.195953
-3.61329,19,86.035792
-4.149236,18,86.927754
-4.18658,16,87.631693
-4.01728,15,88.291758
-4.381824,15,88.951827
-2.531611,21,89.875777
-3.209106,20,90.771795
-3.264981,19,91.723684
-5.206846,16,92.427868
-3.781772,16,93.131748
-3.853332,15,93.791807
-3.237026,16,94.49586
-4.512659,18,95.28783
-5.223279,15,96.05173
-5.18747,13,96.62773
-3.915029,15,97.311664
-6.218805,16,98.019818
-4.800669,15,98.67977
-4.888323,14,99.29572
-5.38522,15,99.955717
-5.21556,16,100.763724
-5.280278,13,101.351765
-5.571463,13,101.923685
-4.753979,17,102.671784
-5.436903,13,103.243715
-5.446819,13,103.815638
-4.01347,19,104.651683
-4.403885,17,105.507707
-5.06439,14,106.123711
-5.345662,13,106.695846
-5.770569,16,107.399685
-5.258938,15,108.059629
-5.582522,13,108.631737
-5.485239,13,109.20383
-4.930635,16,110.019754
-5.273876,13,110.59169
-4.93408,14,111.207813
-5.336067,17,111.955631
-5.798663,14,112.57167
-5.007985,14,113.18776
-4.520161,16,114.008772
-5.120348,18,114.811739
-4.236613,16,115.527808
-4.642079,14,116.143742
-4.463416,15,116.80373
-3.891685,19,117.647755
-3.200733,19,118.595758
-3.425728,18,119.387768
-4.809468,14,120.003777
-4.275124,15,120.663744
-1.386115,18,121.455708
-3.998951,19,122.291747
-1.667891,22,123.367749
-2.05131,21,124.291763
-3.008159,19,125.127746
-4.074597,19,125.96374
-2.54515,21,126.887681
-0.587235,22,127.963745
-0.705552,23,128.976094
-1.523304,21,129.911772
1.167895,21,130.835755
0.046087,20,131.716018
6.057194,28,133.059775
-0.940782,20,133.940015
-0.867194,20,134.819701
-0.350802,21,135.743847
3.41023,33,137.303777
17.230074,48,139.42378
25.319085,60,142.199767
23.407261,56,144.671796
15.486169,50,146.999782
16.181387,52,149.335769
14.309004,45,151.439989
1.326893,23,152.451775
14.194789,46,154.475759
-3.91968,15,155.239874
8.302143,38,156.919803
10.417957,40,158.68371
5.886178,39,160.535768
12.354543,53,162.867701
6.58309,38,164.675678
8.663927,48,166.807703
11.916406,49,169.071767
9.263529,46,171.095773
9.438612,46,173.227685
7.970894,46,175.255826
8.044235,44,177.19177
6.329243,46,179.36376
6.922632,43,181.307782
7.327192,44,183.359914
7.416897,45,185.339836
7.101489,44,187.375801
8.582432,46,189.399688
7.784952,46,191.528001
7.496725,44,193.463777
6.487679,43,195.355777
8.941485,46,197.511794
8.254506,45,199.491747
7.318552,45,201.603762
3.563992,36,203.187685
1.850161,30,204.611744
3.381982,36,206.21969
3.648093,37,207.847789
2.131719,32,209.359741
5.971916,34,210.855729
5.90219,34,212.399763
2.08813,31,213.87575
-1.504981,24,214.95972
0.871493,24,216.015828
5.237902,33,217.479748
-2.287083,24,218.659696
0.373717,24,219.755739
4.897501,35,221.331774
-1.770141,24,222.387697
0.587478,26,223.651741
-0.091087,27,224.871718
-0.77877,26,226.031791
-4.593104,15,226.703969
-0.675983,27,227.999762
-4.953755,14,228.615719
0.594531,27,229.803777
-4.939837,14,230.419741
-0.05919,27,231.63175
-4.928599,14,232.351712
1.288005,29,233.647759
-5.197279,13,234.219756
-4.586448,15,234.879739
4.899242,40,236.747805
4.167847,34,238.243704
-5.022825,14,238.859747
-0.395153,27,240.047769
-5.091285,14,240.671726
2.131551,27,241.967666
-5.093032,14,242.583756
0.077992,27,243.783755
-5.137634,14,244.40376
0.928887,27,245.719671
-5.219223,14,246.335902
1.076932,27,247.523782
-5.252044,14,248.139666
0.513334,27,249.327763
-5.258258,14,250.059656
0.913424,27,251.247682
-4.870763,14,251.863706
1.005249,27,253.051777
-4.770523,14,253.667776
0.864608,27,254.967775
-4.547515,15,255.635685
-4.649218,15,256.311761
0.420735,26,257.455746
-5.008637,14,258.092065
1.174649,28,259.451745
-4.942293,14,260.095792
0.385402,27,261.307693
-4.934509,14,261.923876
1.426986,29,263.223715
-5.381713,13,263.89578
-4.680837,15,264.555811
7.241326,42,266.403789
5.428231,40,268.323755
6.965215,40,270.083693
1.417411,30,271.403988
2.470994,30,272.827663
1.995982,35,274.391771
-5.394875,13,274.971716
1.011635,28,276.231848
-5.388431,13,276.803733
-4.5178,16,277.639796
6.103937,39,279.3557
3.648438,36,280.939709
1.796393,28,282.279772
-0.312749,26,283.447645
1.285339,26,284.591897
1.233725,26,285.743682
1.570089,33,287.299724
0.740304,24,288.355713
5.85944,37,289.98404
5.721719,35,291.631718
-0.931334,25,292.731687
0.591399,24,293.787623
2.46411,28,295.035793
0.123612,27,296.359818
4.275522,34,297.903702
2.404977,33,299.38777
1.831386,28,300.755732
0.322172,28,302.047701
0.58566,24,303.115744
1.572268,27,304.303625
-2.328932,24,305.463749
2.916055,38,307.135742
3.639358,32,308.543859
1.501742,26,309.791916
